Metric,Result
Attribute Inference Risk,0.89
GeneralizedCAP,0.74
ZeroCAP,0.0
Median Distance to Closest Record,0.94
Hitting Rate,0.02
Membership Inference Risk,0.99
Nearest Neighbour Adversarial Accuracy,0.9
Common Row Proportion,0.0
Nearest Synthetic Neighbour Distance,0.04
Close Value Probability,1.0
Distant Value Probability,1.0
Authenticity,0.07
DetectionMLP,0.99
Identifiability Score,0.16
Distance to Closest Record,0.78
Nearest Neighbour Distance Ratio,0.33
Hidden Rate,0.0
